Order ID,Customer ID,Customer Name,Product ID,Product Name,Postal Code,City,State,Order Date, Total Amount ,Quantity,Discount,Ship Date,Category,Sub-Category,Ship Mode,Segment,Region,Regional Manager,Regional Manager Email, Total Amount After the Discount 
CA-2016-152156,CG-12520,Claire Gute,FUR-BO-10001798,Bush Somerset Collection Bookcase,42420,Henderson , Kentucky,11/8/2016, $261.96 ,2,0.00%,11/11/2016,Furniture,Bookcases,Second Class,CONSUMER,South,Charlie Brown,cbrown@superstore.com, $261.96 
CA-2016-152156,CG-12520,Claire Gute,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",42420,Henderson , Kentucky,11/8/2016, $731.94 ,3,0.00%,11/11/2016,Furniture,Chairs,Second Class,CONSUMER,South,Charlie Brown,cbrown@superstore.com, $731.94 
US-2015-108966,SO-20335,Sean O'Donnell,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,33311,Fort Lauderdale , Florida,10/11/2015, $957.58 ,5,45.00%,10/18/2015,Furniture,Tables,Standard Class,CONSUMER,South,Charlie Brown,cbrown@superstore.com, $526.67 
US-2015-108966,SO-20335,Sean O'Donnell,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,33311,Fort Lauderdale , Florida,10/11/2015, $22.37 ,2,20.00%,10/18/2015,Office Supplies,Storage,Standard Class,CONSUMER,South,Charlie Brown,cbrown@superstore.com, $17.89 
CA-2016-138688,DV-13045,Darrin Van Huff,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,90036,Los Angeles , California,6/12/2016, $14.62 ,2,0.00%,6/16/2016,Office Supplies,Labels,Second Class,CORPORATE,West,Diana Prince,dprince@superstore.com, $14.62 
CA-2014-115812,BH-11710,Brosina Hoffman,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",90032,Los Angeles , California,6/9/2014, $48.86 ,7,0.00%,6/14/2014,Furniture,Furnishings,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $48.86 
CA-2014-115812,BH-11710,Brosina Hoffman,OFF-AR-10002833,Newell 322,90032,Los Angeles , California,6/9/2014, $7.28 ,4,0.00%,6/14/2014,Office Supplies,Art,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $7.28 
CA-2014-115812,BH-11710,Brosina Hoffman,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,90032,Los Angeles , California,6/9/2014, $907.15 ,6,20.00%,6/14/2014,Technology,Phones,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $725.72 
CA-2014-115812,BH-11710,Brosina Hoffman,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,90032,Los Angeles , California,6/9/2014, $18.50 ,3,20.00%,6/14/2014,Office Supplies,Binders,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $14.80 
CA-2014-115812,BH-11710,Brosina Hoffman,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,90032,Los Angeles , California,6/9/2014, $114.90 ,5,0.00%,6/14/2014,Office Supplies,Appliances,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $114.90 
CA-2014-115812,BH-11710,Brosina Hoffman,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,90032,Los Angeles , California,6/9/2014," $1,706.18 ",9,20.00%,6/14/2014,Furniture,Tables,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com," $1,364.95 "
CA-2014-115812,BH-11710,Brosina Hoffman,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,90032,Los Angeles , California,6/9/2014, $911.42 ,4,20.00%,6/14/2014,Technology,Phones,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $729.14 
CA-2017-114412,AA-10480,Andrew Allen,OFF-PA-10002365,Xerox 1967,28027,Concord , North Carolina,4/15/2017, $15.55 ,3,0.00%,4/20/2017,Office Supplies,Paper,Standard Class,CONSUMER,South,Charlie Brown,cbrown@superstore.com, $15.55 
CA-2016-161389,IM-15070,Irene Maddox,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,98103,Seattle , Washington,12/5/2016, $407.98 ,3,0.00%,12/10/2016,Office Supplies,Binders,Standard Class,CONSUMER,West,Diana Prince,dprince@superstore.com, $407.98 
US-2015-118983,HP-14815,Harold Pawlan,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",76106,Fort Worth , Texas,11/22/2015, $68.81 ,5,80.00%,11/26/2015,Office Supplies,Appliances,Standard Class,HOME OFFICE,Central,Alice Smith,asmith@superstore.com, $13.76 
US-2015-118983,HP-14815,Harold Pawlan,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,76106,Fort Worth , Texas,11/22/2015, $2.54 ,3,80.00%,11/26/2015,Office Supplies,Binders,Standard Class,HOME OFFICE,Central,Alice Smith,asmith@superstore.com, $0.51 
